DATEPRD,WELL_BORE_CODE,NPD_WELL_BORE_CODE,NPD_WELL_BORE_NAME,NPD_FIELD_CODE,NPD_FIELD_NAME,NPD_FACILITY_CODE,NPD_FACILITY_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_CHOKE_UOM,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,FLOW_KIND,WELL_TYPE,YEAR,MONTH,DAY,DAY_OF_WEEK,Actual Production,Predicted Production,Forecast Error,Absolute Error,Percentage Error
2016-07-18,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,0.0,0.0,33.95387354166667,17.902679791666667,30.163654375,%,33.95387354166667,68.03298833333334,11.833174166666666,125.94,20158.23,812.9,production,OP,2016,7,18,0,125.94,384.4024684964567,-258.4624684964567,258.4624684964567,205.2266702369833
2014-01-29,NO 15/9-F-4 AH,5693,15/9-F-4,3420717,VOLVE,369304,MÆRSK INSPIRER,8.225,,,,,,,,,0.0,,,,injection,WI,2014,1,29,2,557.55,557.4983474872374,0.05165251276253002,0.05165251276253002,0.009264193841364904
2011-11-08,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,241.262261875,103.03836145833333,200.13096416666667,0.0,70.331985,%,41.131297708333335,85.58492604166666,9.895749791666667,1864.94,287161.14,3793.42,production,OP,2011,11,8,1,1864.94,1872.4623598899716,-7.52235988997154,7.52235988997154,0.40335667045435997
2014-01-04,NO 15/9-F-5 AH,5769,15/9-F-5,3420717,VOLVE,369304,MÆRSK INSPIRER,14.30833,,,,,,,,,0.0,,,,injection,WI,2014,1,4,5,557.55,557.495670956776,0.05432904322390186,0.05432904322390186,0.009744245937387116
2014-08-06,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,199.93306791666666,106.58570458333334,158.60624104166666,16.882975625,11.526236875,%,41.326826875,33.07036708333333,12.606950625,198.4,29445.06,0.0,production,OP,2014,8,6,2,198.4,194.44270056410014,3.95729943589987,3.95729943589987,1.9946065705140472
2015-05-15,NO 15/9-F-4 AH,5693,15/9-F-4,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,,,,,,,,,0.0,,,,injection,WI,2015,5,15,4,557.55,557.4963676636537,0.053632336346254306,0.053632336346254306,0.00961928730091549
2013-10-21,NO 15/9-F-5 AH,5769,15/9-F-5,3420717,VOLVE,369304,MÆRSK INSPIRER,20.85833,,,,,,,,,0.0,,,,injection,WI,2013,10,21,0,557.55,557.4956709567766,0.05432904322333343,0.05432904322333343,0.009744245937285165
2011-12-07,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,19.0,0.0,0.0,39.31002605263158,8.352285789473685,55.271759583333335,%,39.31002605263158,82.87394263157894,7.566304736842105,760.83,114501.4,2863.73,production,OP,2011,12,7,2,760.83,804.8104666857913,-43.98046668579127,43.98046668579127,5.7805904979813185
2010-08-26,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,317.56673,104.33566,314.11876,0.0,,%,3.44797,13.09508,1.32789,0.0,0.0,0.0,production,OP,2010,8,26,3,0.0,0.0,0.0,0.0,
2010-11-02,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,0.0,0.0,52.115531041666664,22.379736666666666,53.30524770833333,%,52.115531041666664,86.33878541666667,19.578769166666667,1581.71,240202.8,3431.34,production,OP,2010,11,2,1,1581.71,1996.924618241342,-415.2146182413419,415.2146182413419,26.250995330455133
2009-08-19,NO 15/9-F-4 AH,5693,15/9-F-4,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,,,,,,,,,0.0,,,,injection,WI,2009,8,19,2,557.55,557.4956709567771,0.05432904322287868,0.05432904322287868,0.009744245937203602
2015-04-18,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,267.1339889361702,99.6882129787234,236.16610276595745,14.491881489361703,97.91666666666667,%,30.967886170212765,88.92003595744681,2.351108085106383,252.32,37571.89,3550.23,production,OP,2015,4,18,5,252.32,260.463325318198,-8.14332531819798,8.14332531819798,3.2273800405033213
2008-10-19,NO 15/9-F-5 AH,5769,15/9-F-5,3420717,VOLVE,369304,MÆRSK INSPIRER,19.75833,,,,,,,,,0.0,,,,injection,WI,2008,10,19,6,557.55,557.4956709567767,0.05432904322321974,0.05432904322321974,0.009744245937264775
2008-02-26,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,289.53618458333335,105.90156645833333,178.60267479166666,12.506407083333333,30.923040416666666,%,110.93350979166667,72.30784145833333,77.72319291666666,3046.54,446905.0,0.46,production,OP,2008,2,26,1,3046.54,3049.6645250447177,-3.124525044717757,3.124525044717757,0.10255979060566271
2013-05-08,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,244.44048520833334,100.94057458333333,212.05589583333332,22.594112916666667,100.0,%,32.384589375,87.5944225,3.3578591666666666,936.59,153541.73,3588.76,production,OP,2013,5,8,2,936.59,918.4910448176188,18.098955182381246,18.098955182381246,1.9324309657781147
2016-04-08,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,0.0,0.0,26.262960833333334,21.5204125,100.0,%,26.262960833333334,81.93967020833334,0.4354191666666667,222.82,36763.88,1264.94,production,OP,2016,4,8,4,222.82,205.07480683081246,17.74519316918753,17.74519316918753,7.963913997481164
2012-05-28,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,0.0,0.0,33.765474166666664,11.466328125,100.0,%,33.765474166666664,92.23468375,4.92169125,736.22,118569.69,4481.59,production,OP,2012,5,28,0,736.22,727.6440967288529,8.575903271147126,8.575903271147126,1.1648560581276148
2015-12-16,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,265.910254375,99.54902625,237.95736875,13.812784375,100.0,%,27.952885625,85.80931333333334,1.885365,173.96,26495.54,3195.15,production,OP,2015,12,16,2,173.96,171.7970231605339,2.162976839466097,2.162976839466097,1.243375971180787
2010-09-07,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,254.26430645833332,106.379283125,198.72661083333332,0.0,46.98152375,%,55.537695625,89.952851875,22.779527083333335,2233.58,333180.65,3073.98,production,OP,2010,9,7,1,2233.58,2222.4284320495444,11.151567950455501,11.151567950455501,0.49926879495945975
2010-04-09,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,248.221621875,106.42064104166667,189.33456770833334,0.0,43.052640833333335,%,58.887054166666665,90.80313958333333,25.771808125,2594.12,364622.26,2459.18,production,OP,2010,4,9,4,2594.12,2523.443474645272,70.6765253547278,70.6765253547278,2.7244894359061185
2011-03-24,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,0.0,0.0,42.41758,25.581674680851062,65.23793145833334,%,42.41758,91.35714680851063,9.760498085106383,1269.45,196569.22,3795.4,production,OP,2011,3,24,3,1269.45,1287.063470467229,-17.613470467229035,17.613470467229035,1.3874883191326193
2014-03-12,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,0.0,0.0,33.079399375,19.980799791666666,100.0,%,33.079399375,88.90026791666666,4.129219791666666,254.22,38116.99,4587.75,production,OP,2014,3,12,2,254.22,264.2842656893221,-10.064265689322127,10.064265689322127,3.9588803749988704
2012-04-04,NO 15/9-F-4 AH,5693,15/9-F-4,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,,,,,,,,,0.0,,,,injection,WI,2012,4,4,2,557.55,557.495670956777,0.05432904322299237,0.05432904322299237,0.009744245937223993
2008-12-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,234.91420958333333,105.22962375,153.41693625,,35.82625625,%,81.49727333333334,70.214869375,48.65928541666667,3712.64,534747.96,1.1,production,OP,2008,12,13,5,3712.64,3482.121547721488,230.5184522785121,230.5184522785121,6.209017095072835
2009-08-09,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,222.92179375,105.58382145833333,162.25318916666666,,47.859999375,%,60.668604583333334,85.51727166666667,27.102156041666667,4894.2,676198.46,759.55,production,OP,2009,8,9,6,4894.2,4707.497585402513,186.7024145974865,186.7024145974865,3.814768799752493
2014-11-22,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,218.54943229166668,106.39678625,167.46960520833332,25.22827708333333,11.199812291666667,%,51.079827083333335,64.984368125,22.740719791666667,980.88,150603.08,351.37,production,OP,2014,11,22,5,980.88,983.1985677876987,-2.3185677876987256,2.3185677876987256,0.2363762935016236
2014-05-12,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,226.02269270833332,107.77166645833333,155.79650583333333,,46.93359,%,70.226186875,56.88541625,41.80654479166667,769.01,111238.01,0.0,production,OP,2014,5,12,0,769.01,805.3942218886488,-36.38422188864877,36.38422188864877,4.7313067305560095
